data,lable
牙釉质是牙齿最外面的一层，牙本质是牙釉质下面的一层 牙齿矿化程度高， 牙釉质是透明的，牙本质的颜色是黄色，所以透出的颜色是黄色；反之矿化程度低牙齿会乳白色。冷光美白牙齿敏感不建议做，牙齿不敏感做了根据自己的使用情况基本上一年左右就恢复到做美白之前的色度！所以其实牙齿健康最重要啦！,1
我觉得这样很好，范冰冰不也是吗，120斤的体重，胳膊和腰都不算是细的，但人家就是很美，那种绝食减肥的女明星病态美真的无法恭维,1
初粉bp的时候最喜她的声音所以最先认出她。，她的嘴有有一种地包天的感觉，但咬合又好像没有 我之前看到一个po主说，这时候是眼睑下至（是不是这个词啊）反弹了还是后遗症咋的 李宇春只是长得比较有态度吧，美人谈不上吧（小声 她像曾黎 她的鼻子实在是……[允悲]不太吃这个款,1
回复@1nnioo:看清楚了，中学时的高允真。 回复@1nnioo:自己百度。中学时眼睛小，塌鼻梁，很丑。这都算微整，那换头都可以说微整了。 回复@hysjvg:右边是一个整了容的韩国明星，变化很大，但是看不出来整容,1
我呢？请指教！手机不在身边暂时只有这一张，这张是原相机但是妆后，而且还凹角度捂腮了，脸大两边脸不对称没办法。想去做做医美 回复@仙女颜究所:哦，皮肤确实是，本身容易长痘混油，工作还老熬夜作息混乱,1
好哒！谢谢小仙女！我明天就去剪～ 分享图片 剪这样的短发 分享图片 小仙女想问一下！这个脸型适合剪短发吗？,1
天生眼袋浮肿 贼显老 只想去眼袋,1
回复@柳柳扭溜牛:小姐姐你鼻子真好看 我就是第一种哈哈哈，平时看马思纯没注意过，今天一看这照片发现我上学那会儿的短发齐刘海再加上这脸型妥妥的马思纯[允悲],1
我昨天认真看了一天哈哈哈哈哈哈哈哈哈哈哈研究自己的颅顶,1
能延长中庭吗,1
我感觉我也是，脸全部露出来反而看起来比较小,1
关于评论：黑了。废话，你去云南待几天啊，紫外线这么强能不黑吗，还涂黑粉，羊毛都上不了杨洋的脸，黑粉你们脸咋这么大。gay了。啥意思，从这种话里有话啊，还有，gay不gay你一眼就看出来了？成年人张口就来，我还说你性向歧视呢，咋把你能的 健身的重要性，别刷了，还不去锻炼,1
回复@仙女颜究所:好像也没什么感觉[允悲]但是看拍完的照片确实感觉左边眼睛好像没睁开 想问下这种算严重吗 大小眼是很严重了[允悲],1
回复@仙女颜究所:我不太喜欢[悲伤] 回复@仙女颜究所:这个呢[喵喵]@仙女颜究所 回复@仙女颜究所:[喵喵]没错 说的就是我的眼睛,1
#我是表情帝# 那我算不算中度鸭！,1
有点好奇为什么叫蒙古褶,1
回复@Loco和华莎公开了吗:李宣美腿还不好看？？？那在座的各位怕是全是大象腿了,1
我应该也是轻度的，之前还一度怀疑这是不是内双,1
这种严重吗[熊猫],1
韩国做鼻子哪一家好，短鼻的话 回复@寻寻觅觅终当归:我也是我也是我也是，但是我还没看懂内容，反正我扎起头发看起来年轻 微笑嘴去韩国哪一家做比较好？,1
